surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
“Huihpi	“huihpi	huih-pi'	Huihpi	wind-great.POSS	huih	huihpi	N	UNK	high	38007014	3	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	auto_resolved
ngakngak	ngakngak	ngak~ngak		wait~REDUP	ngak~ngak		UNK		high	39003001	3	pos_unknown	auto_resolved
nattunin	nattunin	nat-tun-in		sick-enter-INST	nat		UNK		high	40008014	3	pos_unknown	auto_resolved
“Cidamte	“cidamte	Cidamte		CIDAMTE	cidamte		UNK		high	40009012	3	pos_unknown	auto_resolved
diamdiam	diamdiam	diam~diam		still~REDUP	diam~diam		UNK		high	40011007	3	pos_unknown	auto_resolved
depgawp	depgawp	dep-gawp		thorn-choke	dep		UNK		high	40013007	3	pos_unknown	auto_resolved
“Thugentehna	“thugentehna	Thugentehna		THUGENTEHNA	thugentehna		UNK		high	40013035	3	pos_unknown	auto_resolved
Saddusi-te	saddusi-te	Saddusi-te'		SADDUSI-TE.POSS	saddusi		UNK		high	40016006	3	pos_unknown	auto_resolved
“Pawlkhat	“pawlkhat	Pawlkhat		PAWLKHAT	pawlkhat		UNK		high	40016014	3	pos_unknown	auto_resolved
“Galilee	“galilee	Galilee		GALILEE	galilee		UNK		high	40021011	3	pos_unknown	auto_resolved
“Numeino	“numeino	Numeino		NUMEINO	numeino		UNK		high	41005041	3	pos_unknown	auto_resolved
tumkhit	tumkhit	tum-khit		privately-ask	tum		UNK		high	41009028	3	pos_unknown	auto_resolved
sumkhekte	sumkhekte	sumkhekte'	sumkhek-te	moneychanger-PL.POSS	sumkhekte	sumkhek	UNK	N	high	41011015	3	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK|pos_unknown	auto_resolved
“Rom	“rom	Rom		ROM	rom		UNK		high	41012016	3	pos_unknown	auto_resolved
hihnu	hihnu	hih-nu	hih-nu'	this-after	hi		V		high	41012023	3	multi_segmentation:2	auto_resolved
kizakim	kizakim	ki-zakim		REFL-fame	zakim		UNK		high	42004014	3	pos_unknown	auto_resolved
thai	thai	thai		embrace	thai		UNK		high	42013032	3	pos_unknown	auto_resolved
“Peter	“peter	Peter		PETER	peter		UNK		high	42022034	3	pos_unknown	auto_resolved
kibangkim	kibangkim	ki-bang-kim		REFL-same-all	bang		UNK		high	42023040	3	pos_unknown	auto_resolved
tunma	tunma	tun-ma		arrive-before	tun		UNK		high	43004031	3	pos_unknown	auto_resolved
Justas	justas	Justas	Justas'	JUSTAS	Justas	justas	PROP	UNK	high	44001023	3	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
taangzaih	taangzaih	taang-zaih		light-shine	taang		UNK		high	44009003	3	pos_unknown	auto_resolved
palikbute	palikbute	palik-bu-te		police-group-PL	palik		UNK		high	44016035	3	pos_unknown	auto_resolved
zinin	zinin	zin-in		journey-INST	zin		UNK		high	44019001	3	pos_unknown	auto_resolved
hilhhilh	hilhhilh	hilh~hilh		teach~REDUP	hilh~hilh		UNK		high	45010008	3	pos_unknown	auto_resolved
pehkik	pehkik	peh-kik		graft-again	peh		UNK		high	45011023	3	pos_unknown	auto_resolved
dawizek	dawizek	dawi-zek		unclean-esteem	dawi		UNK		high	45014014	3	pos_unknown	auto_resolved
antak	antak	antak	Antak	ANTAK	antak	Antak	UNK	PROP	high	46003002	3	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
khuksung	khuksung	khuk-sung		before-say	khuk		UNK		high	48001009	3	pos_unknown	auto_resolved
Kristal	kristal	kristal		FGN	kristal		UNK		high	66004006	3	pos_unknown	auto_resolved
Scraped	scraped	Scraped	scraped	scraped	scraped		UNK		high	# copyright_long:	2	multi_segmentation:2|pos_unknown	auto_resolved
bible.com	bible.com	bible.com		FGN	bible.com		UNK		high	# copyright_long:	2	pos_unknown	auto_resolved
See	see	see		?	see		UNK		unknown	# copyright_long:	2	pos_unknown|partial_gloss|confidence_unknown	auto_resolved
for	for	for		FGN	for		UNK		high	# copyright_long:	2	pos_unknown	auto_resolved
copyright	copyright	copyright		FGN	copyright		UNK		high	# copyright_long:	2	pos_unknown	auto_resolved
Tedim	tedim	tedim		Tedim	tedim		UNK		high	# language_name:	2	pos_unknown	auto_resolved
“Tuite	“tuite	Tuite'	Tuite	water-PL.POSS	tuite		UNK		high	01001006	2	multi_segmentation:2|pos_unknown	auto_resolved
golpite	golpite	gol-pi-te		creature-great-PL	gol		UNK		high	01001021	2	pos_unknown	auto_resolved
bedolak	bedolak	bedolak		bdellium	bedolak		UNK		high	01002012	2	pos_unknown	auto_resolved
